group_id:0------------------------

char_code:Yamame_en,Yamame_en,Yamame_en,Yamame_en,
is_create:1,1,1,1,
AI_x:208,208,208,208,
AI_y:304,304,304,304,
AI_level:27,27,27,27,
AI_bullet:2,2,2,2,
AI_item:NIGHT+,NIGHT+,NIGHT+,NIGHT+,
AI_tune:-2,0,2,5,
AI_move:0,0,0,0,
AI_move2:2,2,2,2,
AI_timer:3,3,3,3,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,0,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-3,-3,
AI_spirit:-1,-1,-1,0,
AI_land:Ground,Ground,Ground,Ground,
AI_bomb:1,1,0,0,

char_code:Kisume_en,Kisume_en,Kisume_en,Kisume_en,
is_create:1,1,1,1,
AI_x:192,192,192,192,
AI_y:288,288,288,288,
AI_level:26,26,26,26,
AI_bullet:2,2,2,2,
AI_item:HIT+,HIT+,HIT+,HIT+,
AI_tune:-2,0,2,5,
AI_move:3,3,3,3,
AI_move2:3,3,3,3,
AI_timer:1,1,1,1,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:6,0,1,1,
AI_attack_unit:,,,,
AI_def:-1,-1,-3,-3,
AI_spirit:-1,-1,-1,0,
AI_land:Air,Air,Air,Air,
AI_bomb:1,1,1,1,

char_code:JKarasu_en,JKarasu_en,JKarasu_en,JKarasu_en,
is_create:1,1,1,1,
AI_x:240,240,240,240,
AI_y:240,240,240,240,
AI_level:24,24,24,24,
AI_bullet:0,2,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,0,2,5,
AI_move:0,0,0,0,
AI_move2:2,2,2,2,
AI_timer:2,2,2,2,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:6,6,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
AI_bomb:0,0,0,0,

char_code:JKarasu_en,JKarasu_en,JKarasu_en,JKarasu_en,
is_create:1,1,1,1,
AI_x:224,224,224,224,
AI_y:192,192,192,192,
AI_level:24,24,24,24,
AI_bullet:2,0,0,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,0,2,5,
AI_move:0,0,0,0,
AI_move2:2,2,2,2,
AI_timer:2,2,2,2,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:6,6,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
AI_bomb:0,0,0,0,

char_code:JKarasu_en,JKarasu_en,JKarasu_en,JKarasu_en,
is_create:1,1,1,1,
AI_x:192,192,192,192,
AI_y:224,224,224,224,
AI_level:24,24,24,24,
AI_bullet:0,0,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,0,2,5,
AI_move:0,0,0,0,
AI_move2:2,2,2,2,
AI_timer:2,2,2,2,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:6,6,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
AI_bomb:0,0,0,0,

char_code:JKarasu_en,JKarasu_en,JKarasu_en,JKarasu_en,
is_create:1,1,1,1,
AI_x:240,240,240,240,
