group_id:0------------------------

char_code:Lunasa_en,Lunasa_en,Lunasa_en,Lunasa_en,
is_create:1,1,1,1,
AI_x:288,288,288,288,
AI_y:304,304,304,304,
AI_level:27,27,27,27,
AI_bullet:2,2,2,2,
AI_item:HIT++,HIT++,HIT++,HIT++,
AI_tune:-2,0,2,5,
AI_move:0,0,0,0,
AI_move2:0,0,0,0,
AI_timer:1,1,1,1,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:6,0,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-3,-3,
AI_spirit:-1,-1,-1,0,
AI_land:Ground,Ground,Ground,Ground,
AI_bomb:0,0,0,0,

char_code:HYousei_en,HYousei_en,HYousei_en,HYousei_en,
is_create:1,1,1,1,
AI_x:256,256,256,256,
AI_y:336,336,336,336,
AI_level:23,23,23,23,
AI_bullet:0,2,0,2,
AI_item:--------,--------,--------,--------,
AI_tune:-1,1,3,6,
AI_move:0,0,0,0,
AI_move2:3,3,3,3,
AI_timer:7,6,5,5,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,0,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Ground,Ground,
AI_bomb:1,0,0,0,

char_code:HYousei_en,HYousei_en,HYousei_en,HYousei_en,
is_create:0,1,1,1,
AI_x:240,240,240,240,
AI_y:368,368,368,368,
AI_level:23,23,23,23,
AI_bullet:0,0,0,2,
AI_item:--------,--------,--------,--------,
AI_tune:-1,1,3,6,
AI_move:0,0,0,0,
AI_move2:3,3,3,3,
AI_timer:7,6,5,5,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,0,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Ground,Ground,
AI_bomb:1,0,0,0,

char_code:HYousei_en,HYousei_en,HYousei_en,HYousei_en,
is_create:1,1,1,1,
AI_x:224,224,224,224,
AI_y:400,400,400,400,
AI_level:23,23,23,23,
AI_bullet:0,2,0,2,
AI_item:--------,--------,--------,--------,
AI_tune:-1,1,3,6,
AI_move:0,0,0,0,
AI_move2:3,3,3,3,
AI_timer:7,6,5,5,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,0,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Ground,Ground,
AI_bomb:1,0,0,0,

char_code:KKedama_en,KKedama_en,KKedama_en,KKedama_en,
is_create:1,1,1,1,
AI_x:288,288,288,288,
AI_y:256,256,256,256,
AI_level:24,24,24,24,
AI_bullet:0,2,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,0,2,5,
AI_move:0,0,2,2,
AI_move2:3,3,3,3,
AI_timer:4,3,3,2,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:6,6,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
AI_bomb:0,0,0,0,

char_code:KKedama_en,KKedama_en,KKedama_en,KKedama_en,
is_create:1,1,1,1,
AI_x:320,320,320,320,
AI_y:272,272,272,272,
AI_level:24,24,24,24,
AI_bullet:0,0,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,0,2,5,
AI_move:0,0,2,2,
AI_move2:3,3,3,3,
AI_timer:4,3,3,2,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:6,6,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
AI_bomb:0,0,0,0,

char_code:KKedama_en,KKedama_en,KKedama_en,KKedama_en,
is_create:1,1,1,1,
AI_x:352,352,352,352,
AI_y:256,256,256,256,
AI_level:24,24,24,24,
AI_bullet:0,2,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,0,2,5,
AI_move:0,0,2,2,
AI_move2:3,3,3,3,
AI_timer:4,3,3,2,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:6,6,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
AI_bomb:0,0,0,0,

char_code:Karasu_en,Karasu_en,Karasu_en,Karasu_en,
is_create:1,1,1,1,
AI_x:304,304,304,304,
AI_y:384,384,384,384,
AI_level:23,23,23,23,
AI_bullet:2,2,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:0,2,4,7,
AI_move:0,2,2,2,
AI_move2:3,3,3,3,
