group_id:0------------------------

char_code:OnryoR_en,OnryoR_en,OnryoR_en,OnryoR_en,
is_create:1,1,1,1,
AI_x:528,528,528,528,
AI_y:496,496,496,496,
AI_level:26,26,26,26,
AI_bullet:2,2,2,2,
AI_item:POINT5000,POINT5000,POINT5000,POINT5000,
AI_tune:-2,0,2,5,
AI_move:0,0,0,0,
AI_move2:0,0,0,0,
AI_timer:1,1,1,1,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,0,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Ground,Ground,Ground,Ground,
AI_bomb:1,1,1,1,

char_code:Onryo_en,Onryo_en,Onryo_en,Onryo_en,
is_create:1,1,1,1,
AI_x:512,512,512,512,
AI_y:512,512,512,512,
AI_level:25,25,25,25,
AI_bullet:0,0,0,2,
AI_item:--------,--------,--------,--------,
AI_tune:0,2,4,7,
AI_move:0,0,0,0,
AI_move2:0,0,0,0,
AI_timer:1,1,1,1,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:6,6,6,6,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Ground,Ground,Ground,Ground,
AI_bomb:0,0,0,0,

char_code:Onryo_en,Onryo_en,Onryo_en,Onryo_en,
is_create:0,1,1,1,
AI_x:496,496,496,496,
AI_y:464,464,464,464,
AI_level:25,25,25,25,
AI_bullet:0,0,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:0,2,4,7,
AI_move:0,0,0,0,
AI_move2:0,0,0,0,
AI_timer:1,1,1,1,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:6,6,6,6,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Ground,Ground,Ground,Ground,
AI_bomb:0,0,0,0,

char_code:JKarasu_en,JKarasu_en,JKarasu_en,JKarasu_en,
is_create:1,1,1,1,
AI_x:512,512,512,512,
AI_y:320,320,320,320,
AI_level:25,25,25,25,
AI_bullet:2,2,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,0,2,5,
AI_move:2,2,2,2,
AI_move2:3,3,3,3,
AI_timer:2,2,2,2,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,0,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
AI_bomb:0,0,0,0,

char_code:JKarasu_en,JKarasu_en,JKarasu_en,JKarasu_en,
is_create:1,1,1,1,
AI_x:384,384,384,384,
AI_y:224,224,224,224,
AI_level:25,25,25,25,
