group_id:0------------------------

char_code:Youmu_en,Youmu_en,Youmu_en,Youmu_en,
is_create:1,1,1,1,
AI_x:240,240,240,240,
AI_y:160,160,160,160,
AI_level:31,31,31,31,
AI_bullet:2,2,2,2,
AI_item:MOV+MOTION+,MOV+MOTION+,MOV+MOTION+,MOV+MOTION+,
AI_tune:-2,0,2,5,
AI_move:0,3,3,3,
AI_move2:3,3,3,3,
AI_timer:1,1,1,1,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:6,2,2,2,
AI_attack_unit:,,,,
AI_def:-1,-1,-3,-3,
AI_spirit:-1,-1,-1,0,
AI_land:Ground,Ground,Ground,Ground,
AI_bomb:1,1,1,1,


group_id:1------------------------

char_code:KKedama_en,KKedama_en,KKedama_en,KKedama_en,
is_create:0,1,1,1,
AI_x:192,192,192,192,
AI_y:144,144,144,144,
AI_level:27,27,27,27,
AI_bullet:0,0,0,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,0,2,5,
AI_move:3,3,3,3,
AI_move2:3,3,3,3,
AI_timer:1,1,1,1,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:6,6,6,6,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Ground,Ground,Ground,Ground,
AI_bomb:0,0,0,0,

char_code:KKedama_en,KKedama_en,KKedama_en,KKedama_en,
is_create:1,1,1,1,
AI_x:208,208,208,208,
AI_y:176,176,176,176,
AI_level:27,27,27,27,
AI_bullet:0,2,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,0,2,5,
AI_move:3,3,3,3,
AI_move2:3,3,3,3,
AI_timer:1,1,1,1,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:6,6,6,6,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Ground,Ground,Ground,Ground,
AI_bomb:0,0,0,0,

char_code:KKedama_en,KKedama_en,KKedama_en,KKedama_en,
is_create:0,1,1,1,
AI_x:288,288,288,288,
AI_y:144,144,144,144,
AI_level:27,27,27,27,
AI_bullet:0,2,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,0,2,5,
AI_move:3,3,3,3,
AI_move2:3,3,3,3,
AI_timer:1,1,1,1,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
