group_id:0------------------------

char_code:Yuyuko_en,Yuyuko_en,Yuyuko_en,Yuyuko_en,
is_create:1,1,1,1,
AI_x:320,320,320,320,
AI_y:304,304,304,304,
AI_level:32,32,32,32,
AI_bullet:2,2,2,2,
AI_item:AGEHA,AGEHA,AGEHA,AGEHA,
AI_tune:-2,0,2,5,
AI_move:0,0,0,0,
AI_move2:0,0,0,0,
AI_timer:1,1,1,1,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:6,2,2,2,
AI_attack_unit:,,,,
AI_def:-1,-1,-3,-3,
AI_spirit:-1,-1,-1,0,
AI_land:Ground,Ground,Ground,Ground,
AI_bomb:0,0,0,0,


group_id:1------------------------

char_code:GhostL_en,GhostL_en,GhostL_en,GhostL_en,
is_create:1,1,1,1,
AI_x:240,240,240,240,
AI_y:336,336,336,336,
AI_level:28,28,28,28,
AI_bullet:0,0,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,0,2,5,
AI_move:0,0,0,0,
AI_move2:0,0,0,0,
AI_timer:1,1,1,1,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:6,0,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Ground,Ground,Ground,Ground,
AI_bomb:0,0,0,0,

char_code:GhostL_en,GhostL_en,GhostL_en,GhostL_en,
is_create:1,1,1,1,
AI_x:384,384,384,384,
AI_y:368,368,368,368,
AI_level:28,28,28,28,
AI_bullet:2,0,0,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,0,2,5,
AI_move:0,0,0,0,
AI_move2:0,0,0,0,
AI_timer:1,1,1,1,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:6,0,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Ground,Ground,Ground,Ground,
AI_bomb:1,0,0,0,

char_code:GhostL_en,GhostL_en,GhostL_en,GhostL_en,
is_create:1,1,1,1,
AI_x:336,336,336,336,
AI_y:432,432,432,432,
AI_level:28,28,28,28,
AI_bullet:0,2,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,0,2,5,
AI_move:0,0,0,0,
AI_move2:0,0,0,0,
AI_timer:1,1,1,1,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:6,6,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Ground,Ground,Ground,Ground,
AI_bomb:0,0,0,0,

char_code:GhostL_en,GhostL_en,GhostL_en,GhostL_en,
is_create:1,1,1,1,
AI_x:176,192,176,176,
AI_y:448,448,448,448,
AI_level:28,28,28,28,
AI_bullet:0,0,0,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,0,2,5,
AI_move:0,0,0,0,
AI_move2:3,3,3,3,
AI_timer:5,6,6,6,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:6,6,0,2,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Ground,Ground,Ground,Ground,
AI_bomb:1,1,1,1,

char_code:GhostL_en,GhostL_en,GhostL_en,GhostL_en,
is_create:1,1,1,1,
AI_x:256,256,256,256,
AI_y:496,496,496,496,
AI_level:28,28,28,28,
AI_bullet:2,2,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,0,2,5,
AI_move:0,0,0,0,
