//Unique skill data

//Reimu-----------------------
USkillID    = "Y_BUSTER"
USkillEF    = "Y_BUSTER"
USkillVal1  = "|10|15|"
USkillVal2  = ""
USkillCount = ""
USkillTar   = ""

USkillID    = "N_KEKKAI"
USkillEF    = "ADD_SPECIAL"
USkillVal1  = "|N_KEKKAI|"
USkillVal2  = "|0|"
USkillCount = "|0|"
USkillTar   = ""

USkillID    = "INTUITION"
USkillEF    = "INTUITION"
USkillVal1  = "|20|"
USkillVal2  = "|10|"
USkillCount = ""
USkillTar   = ""

//Marisa----------------------
USkillID    = "D_POWER"
USkillEF    = ""
USkillVal1  = "|30|65|100|"
USkillVal2  = "|15|25|40|"
USkillCount = "|3|2|1|"
USkillTar   = "SELF_PLAYER"

USkillID    = "H_WORKER"
USkillEF    = "EXP+"
USkillVal1  = "|20|"
USkillVal2  = "|0|"
USkillCount = "|0|"
USkillTar   = ""

USkillID    = "M_THRUSTER"
USkillEF    = "M_THRUSTER"
USkillVal1  = "|10|20|30|"
USkillVal2  = "|15|25|35|"
USkillCount = "|3|3|2|"
USkillTar   = "SELF_PLAYER"

USkillID    = "S_STAR"
USkillEF    = "S_STAR"
USkillVal1  = "|15|"
USkillVal2  = "|"
USkillCount = "|0|"
USkillTar   = ""

//Keine-----------------------
USkillID    = "TEACHER"
USkillEF    = "TEACHER"
USkillVal1  = "|8|8|"
USkillVal2  = "|15|20|"
USkillCount = "|0|0|"
USkillTar   = "GRID8_PLAYER"

USkillID    = "TOSSHIN"
USkillEF    = "TOSSHIN"
USkillVal1  = "|1|"
USkillVal2  = ""
USkillCount = ""
USkillTar   = ""

USkillID    = "PAIRTO_MOKOU"
USkillEF    = "PAIRTO+"
USkillVal1  = "|Mokou|Mokou|Mokou|"
USkillVal2  = "|1|2|3|"
USkillCount = "|0|0|0|"
USkillTar   = ""

//Alice-----------------------
USkillID    = "DOLL_CREATE_SA"
USkillEF    = "DOLL_CREATE_SA"
USkillVal1  = "|40|"
USkillVal2  = "|Shanghai|"
USkillCount = "|2|"
USkillTar   = "TILE_BLANK"

USkillID    = "DOLL_CREATE_SG"
USkillEF    = "DOLL_CREATE_SG"
USkillVal1  = "|25|"
USkillVal2  = "|Hourai|"
USkillCount = "|3|"
USkillTar   = "TILE_BLANK"

USkillID    = "D_BRAIN"
USkillEF    = "CRT_DAM+"
USkillVal1  = "|10|"
USkillVal2  = ""
USkillCount = ""
USkillTar   = ""

//Cirno-----------------------
USkillID    = "FREEZE"
USkillEF    = "BATTLE_PRY-"
USkillVal1  = "|25|"
USkillVal2  = "|PRY-|"
USkillCount = "|3|"
USkillTar   = "SELF_ENEMY"

USkillID    = "PAIR_DAICHIRU"
USkillEF    = "PAIR+"
