group_id:0------------------------

char_code:KTenguA_en,KTenguA_en,KTenguA_en,KTenguA_en,
is_create:1,1,1,1,
AI_x:192,192,192,192,
AI_y:384,384,384,384,
AI_level:18,18,18,18,
AI_bullet:2,2,2,2,
AI_item:HIT++,HIT++,HIT++,HIT++,
AI_tune:-2,0,2,4,
AI_move:0,0,0,0,
AI_move2:3,3,3,3,
AI_timer:4,4,4,4,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,0,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,0,
AI_land:Air,Air,Air,Air,
AI_bomb:0,0,0,0,

char_code:KTengu_en,KTengu_en,KTengu_en,KTengu_en,
is_create:1,1,1,1,
AI_x:240,240,240,240,
AI_y:432,432,432,432,
AI_level:17,17,17,17,
AI_bullet:0,0,2,2,
AI_item:,,,,
AI_tune:-2,0,2,4,
AI_move:0,0,0,0,
AI_move2:3,3,3,3,
AI_timer:4,4,4,4,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:1,1,1,1,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,0,
AI_land:Air,Air,Air,Air,
AI_bomb:1,1,1,1,

char_code:Karasu_en,Karasu_en,Karasu_en,Karasu_en,
is_create:1,1,1,1,
AI_x:192,208,208,224,
AI_y:192,192,192,192,
AI_level:15,15,15,15,
AI_bullet:0,0,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,1,3,6,
AI_move:2,2,2,2,
AI_move2:3,3,3,3,
AI_timer:4,3,2,2,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,0,1,1,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
AI_bomb:0,0,0,0,

char_code:Yousei1_en,Yousei1_en,Yousei1_en,Yousei1_en,
is_create:1,1,1,1,
AI_x:176,192,192,208,
AI_y:224,224,224,224,
AI_level:15,15,15,15,
AI_bullet:2,0,0,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,1,3,6,
AI_move:2,2,2,2,
AI_move2:3,3,3,3,
AI_timer:4,3,2,2,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,0,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
AI_bomb:0,0,0,0,

char_code:Karasu_en,Karasu_en,Karasu_en,Karasu_en,
is_create:1,1,1,1,
AI_x:160,176,176,192,
AI_y:256,256,256,256,
AI_level:15,15,15,15,
