group_id:0------------------------

char_code:Shizuha_en,Shizuha_en,Shizuha_en,Shizuha_en,
is_create:1,1,1,1,
AI_x:224,224,224,224,
AI_y:208,208,208,208,
AI_level:19,19,19,19,
AI_bullet:2,2,2,2,
AI_item:MOTION+,MOTION+,MOTION+,MOTION+,
AI_tune:-2,1,3,5,
AI_move:0,0,0,0,
AI_move2:0,0,0,0,
AI_timer:4,4,4,4,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,0,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,0,
AI_land:Air,Air,Ground,Ground,
AI_bomb:1,1,1,1,


group_id:1------------------------

char_code:Minoriko_en,Minoriko_en,Minoriko_en,Minoriko_en,
is_create:1,1,1,1,
AI_x:240,240,240,240,
AI_y:224,224,224,224,
AI_level:19,19,19,19,
AI_bullet:2,2,2,2,
AI_item:CURE_SP_IMO,CURE_SP_IMO,CURE_SP_IMO,CURE_SP_IMO,
AI_tune:-2,1,3,5,
AI_move:0,0,0,0,
AI_move2:0,0,0,0,
AI_timer:4,4,4,4,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,0,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,0,
AI_land:Air,Air,Ground,Ground,
AI_bomb:0,0,0,0,


group_id:2------------------------

char_code:Yousei2_en,Yousei2_en,Yousei2_en,Yousei2_en,
is_create:1,1,1,1,
AI_x:176,176,176,176,
AI_y:368,368,368,368,
AI_level:16,16,16,16,
AI_bullet:2,2,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,1,3,6,
AI_move:0,0,0,0,
AI_move2:3,3,3,3,
AI_timer:5,4,4,3,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,1,1,1,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
AI_bomb:0,0,0,0,

char_code:Yousei2_en,Yousei2_en,Yousei2_en,Yousei2_en,
is_create:1,1,1,1,
AI_x:144,144,144,144,
AI_y:400,400,400,400,
AI_level:16,16,16,16,
AI_bullet:2,2,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,1,3,6,
AI_move:0,0,0,0,
AI_move2:3,3,3,3,
AI_timer:5,4,4,3,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,1,1,1,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
AI_bomb:0,0,0,0,

char_code:Yousei1_en,Yousei1_en,Yousei1_en,Yousei1_en,
is_create:1,1,1,1,
AI_x:192,192,192,192,
AI_y:336,336,336,336,
AI_level:16,16,16,16,
AI_bullet:0,0,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,1,3,6,
AI_move:2,2,2,2,
AI_move2:3,3,3,3,
AI_timer:4,4,3,2,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,0,1,1,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
AI_bomb:0,0,0,0,

char_code:Yousei1_en,Yousei1_en,Yousei1_en,Yousei1_en,
is_create:1,1,1,1,
AI_x:144,144,144,144,
AI_y:368,368,368,368,
AI_level:16,16,16,16,
AI_bullet:0,2,0,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,1,3,6,
AI_move:2,2,2,2,
AI_move2:3,3,3,3,
AI_timer:4,4,3,2,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,0,0,1,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
AI_bomb:1,0,0,0,

char_code:Yousei1_en,Yousei1_en,Yousei1_en,Yousei1_en,
is_create:1,1,1,1,
AI_x:112,112,112,112,
AI_y:416,416,416,416,
AI_level:16,16,16,16,
AI_bullet:0,0,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,1,3,6,
AI_move:2,2,2,2,
AI_move2:3,3,3,3,
AI_timer:4,3,2,2,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,0,1,1,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
AI_bomb:0,0,0,0,

char_code:Yousei2_en,Yousei2_en,Yousei2_en,Yousei2_en,
is_create:1,1,1,1,
AI_x:368,368,368,368,
AI_y:352,352,352,352,
AI_level:16,16,16,16,
AI_bullet:0,0,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,1,3,6,
AI_move:0,0,0,0,
AI_move2:3,3,3,3,
AI_timer:5,4,4,4,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,1,1,1,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
AI_bomb:0,0,0,0,

char_code:Yousei2_en,Yousei2_en,Yousei2_en,Yousei2_en,
is_create:1,1,1,1,
AI_x:432,432,432,432,
AI_y:400,400,400,400,
AI_level:16,16,16,16,
AI_bullet:2,0,0,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,1,3,6,
AI_move:0,0,0,0,
AI_move2:3,3,3,3,
AI_timer:5,4,4,4,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,1,1,1,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
AI_bomb:1,0,0,0,

char_code:Kedama_en,Kedama_en,Kedama_en,Kedama_en,
is_create:1,1,1,1,
AI_x:384,384,384,384,
AI_y:320,320,320,320,
AI_level:16,16,16,16,
AI_bullet:0,2,0,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,1,3,6,
AI_move:2,2,2,2,
AI_move2:3,3,3,3,
AI_timer:5,4,3,3,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,0,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
AI_bomb:0,0,0,0,

char_code:Kedama_en,Kedama_en,Kedama_en,Kedama_en,
is_create:1,1,1,1,
AI_x:400,400,400,400,
AI_y:336,336,336,336,
AI_level:16,16,16,16,
AI_bullet:0,0,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,3,5,8,
AI_move:2,2,2,2,
AI_move2:3,3,3,3,
AI_timer:5,4,3,3,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,0,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
AI_bomb:0,1,1,1,

char_code:Kedama_en,Kedama_en,Kedama_en,Kedama_en,
is_create:1,1,1,1,
AI_x:448,448,448,448,
AI_y:368,368,368,368,
AI_level:16,16,16,16,
AI_bullet:0,2,0,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,1,3,6,
AI_move:2,2,2,2,
AI_move2:3,3,3,3,
AI_timer:5,4,3,3,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,1,1,2,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
AI_bomb:0,0,0,0,

char_code:Kedama_en,Kedama_en,Kedama_en,Kedama_en,
is_create:1,1,1,1,
AI_x:464,464,464,464,
AI_y:384,384,384,384,
AI_level:16,16,16,16,
AI_bullet:2,0,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,1,3,6,
AI_move:2,2,2,2,
AI_move2:3,3,3,3,
AI_timer:4,3,2,2,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,1,1,2,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
AI_bomb:0,0,0,0,

char_code:Yousei2_en,Yousei2_en,Yousei2_en,Yousei2_en,
is_create:1,1,1,1,
AI_x:240,240,240,240,
AI_y:320,320,320,320,
AI_level:16,16,16,16,
AI_bullet:0,2,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,1,3,6,
AI_move:0,0,0,0,
AI_move2:0,0,0,0,
AI_timer:5,4,4,3,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,1,1,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Ground,Ground,
AI_bomb:0,0,0,0,

char_code:Yousei2_en,Yousei2_en,Yousei2_en,Yousei2_en,
is_create:1,1,1,1,
AI_x:272,272,272,272,
