group_id:0------------------------

char_code:Nitori_FA_en,Nitori_FA_en,Nitori_FA_en,Nitori_FA_en,
is_create:1,1,1,1,
AI_x:192,192,192,192,
AI_y:208,208,208,208,
AI_level:20,20,20,20,
AI_bullet:2,2,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,0,3,6,
AI_move:0,0,0,0,
AI_move2:1,1,0,0,
AI_timer:7,8,10,0,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,0,1,1,
AI_attack_unit:Marisa|Alice,Marisa|Alice,Marisa|Alice,Marisa|Alice,
AI_def:-1,-1,-3,-3,
AI_spirit:-1,-1,-1,0,
AI_land:Water,Water,Water,Water,
AI_bomb:1,1,1,1,

char_code:KappaC_en,KappaC_en,KappaC_en,KappaC_en,
is_create:1,1,1,1,
AI_x:208,208,208,208,
AI_y:160,160,160,160,
AI_level:18,18,18,18,
AI_bullet:2,2,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,0,3,6,
AI_move:0,0,0,0,
AI_move2:1,1,1,0,
AI_timer:7,8,10,0,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,0,1,1,
AI_attack_unit:,,,,
AI_def:-1,-1,-3,-3,
AI_spirit:-1,-1,-1,0,
AI_land:Water,Water,Water,Water,
AI_bomb:0,0,0,0,

char_code:Kappa_en,Kappa_en,Kappa_en,Kappa_en,
is_create:1,1,1,1,
AI_x:160,160,160,160,
AI_y:192,192,192,192,
AI_level:17,17,17,17,
AI_bullet:0,0,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,0,3,6,
AI_move:0,0,0,0,
AI_move2:1,1,1,0,
AI_timer:7,8,10,0,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,0,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Water,Water,Water,
AI_bomb:0,0,0,0,

char_code:Kappa_en,Kappa_en,Kappa_en,Kappa_en,
is_create:0,1,1,1,
AI_x:224,224,224,224,
AI_y:192,192,192,192,
AI_level:18,18,18,18,
AI_bullet:0,0,0,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,0,3,6,
AI_move:0,0,0,0,
AI_move2:1,1,1,0,
AI_timer:7,8,10,0,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,0,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-1,
AI_spirit:-1,-1,-1,-1,
AI_land:Water,Water,Water,Water,
AI_bomb:0,0,0,0,

char_code:Kappa_en,Kappa_en,Kappa_en,Kappa_en,
is_create:0,1,1,1,
