group_id:0------------------------

char_code:Hina_en,Hina_en,Hina_en,Hina_en,
is_create:1,1,1,1,
AI_x:432,432,432,432,
AI_y:320,320,320,320,
AI_level:20,20,20,20,
AI_bullet:2,2,2,2,
AI_item:CURE_MP+,CURE_MP+,CURE_MP+,CURE_MP+,
AI_tune:-2,0,2,5,
AI_move:0,0,1,1,
AI_move2:2,2,2,2,
AI_timer:5,5,4,4,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,0,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-3,-3,
AI_spirit:-1,-1,-1,0,
AI_land:Air,Air,Air,Air,
AI_bomb:0,0,0,0,


group_id:1------------------------

char_code:Kedama_en,Kedama_en,Kedama_en,Kedama_en,
is_create:1,1,1,1,
AI_x:384,384,384,384,
AI_y:224,224,224,224,
AI_level:17,17,17,17,
AI_bullet:0,0,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,2,4,6,
AI_move:1,1,1,1,
AI_move2:3,3,2,2,
AI_timer:5,4,3,3,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:6,6,0,2,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
AI_bomb:0,0,0,0,

char_code:Evileye_en,Evileye_en,Evileye_en,Evileye_en,
is_create:1,1,1,1,
AI_x:416,416,416,416,
AI_y:240,240,240,240,
AI_level:18,18,18,18,
AI_bullet:2,2,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,2,4,6,
AI_move:1,1,1,1,
AI_move2:2,2,2,2,
AI_timer:5,5,4,4,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,1,1,1,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
AI_bomb:0,0,0,0,

char_code:Kedama_en,Kedama_en,Kedama_en,Kedama_en,
is_create:1,1,1,1,
AI_x:448,448,448,448,
AI_y:256,256,256,256,
AI_level:17,17,17,17,
AI_bullet:0,2,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,2,4,6,
AI_move:1,1,1,1,
AI_move2:3,3,2,2,
AI_timer:5,4,3,3,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:6,6,0,2,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
AI_bomb:0,0,0,0,

char_code:Kedama_en,Kedama_en,Kedama_en,Kedama_en,
is_create:1,1,1,1,
AI_x:384,384,384,384,
AI_y:352,352,352,352,
AI_level:17,17,17,17,
AI_bullet:0,0,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,2,4,6,
AI_move:1,1,2,2,
AI_move2:3,3,3,3,
AI_timer:5,4,3,3,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:6,6,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
AI_bomb:0,0,0,0,

char_code:Evileye_en,Evileye_en,Evileye_en,Evileye_en,
is_create:1,1,1,1,
AI_x:416,416,416,416,
AI_y:368,368,368,368,
AI_level:18,18,18,18,
AI_bullet:2,2,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,2,4,6,
AI_move:1,1,1,1,
AI_move2:2,2,2,2,
AI_timer:5,5,4,4,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,1,1,1,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
AI_bomb:0,0,0,0,

char_code:Kedama_en,Kedama_en,Kedama_en,Kedama_en,
is_create:1,1,1,1,
AI_x:448,448,448,448,
AI_y:384,384,384,384,
AI_level:17,17,17,17,
AI_bullet:0,0,0,2,
AI_item:--------,--------,--------,--------,
AI_tune:-2,2,4,6,
AI_move:1,1,1,1,
AI_move2:3,3,2,2,
AI_timer:5,4,3,3,
