group_id:0------------------------

char_code:Nazrin_en,Nazrin_en,Nazrin_en,Nazrin_en,
is_create:1,1,1,1,
AI_x:416,416,416,416,
AI_y:272,272,272,272,
AI_level:25,25,25,25,
AI_bullet:2,2,2,2,
AI_item:MOTION+,MOTION+,MOTION+,MOTION+,
AI_tune:-2,0,2,5,
AI_move:4,4,4,4,
AI_move2:4,4,4,4,
AI_timer:1,1,1,1,
AI_move_x:608,608,608,608,
AI_move_y:112,112,112,112,
AI_move_unit:,,,,
AI_attack:0,0,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-2,-2,
AI_spirit:-1,-1,-1,0,
AI_land:Ground,Ground,Ground,Ground,
AI_bomb:0,0,0,0,

char_code:Evileye_en,Evileye_en,Evileye_en,Evileye_en,
is_create:1,1,1,1,
AI_x:352,352,352,352,
AI_y:256,256,256,256,
AI_level:21,21,21,21,
AI_bullet:2,2,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:0,2,4,6,
AI_move:2,2,2,2,
AI_move2:3,3,3,3,
AI_timer:3,2,2,2,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:6,6,1,1,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
AI_bomb:0,0,0,0,

char_code:Evileye_en,Evileye_en,Evileye_en,Evileye_en,
is_create:1,1,1,1,
AI_x:464,464,464,464,
AI_y:224,224,224,224,
AI_level:21,21,21,21,
AI_bullet:2,2,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:0,2,4,6,
AI_move:0,0,0,0,
AI_move2:0,0,0,0,
AI_timer:3,2,2,2,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:6,6,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
AI_bomb:0,0,0,0,

char_code:Evileye_en,Evileye_en,Evileye_en,Evileye_en,
is_create:1,1,1,1,
AI_x:400,400,400,400,
AI_y:192,192,192,192,
AI_level:21,21,21,21,
AI_bullet:0,0,2,2,
AI_item:--------,--------,--------,--------,
AI_tune:0,2,4,7,
AI_move:0,0,2,2,
AI_move2:3,3,3,3,
AI_timer:4,3,3,2,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,0,2,2,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
AI_bomb:1,0,0,0,

char_code:Karasu_en,Karasu_en,Karasu_en,Karasu_en,
is_create:1,1,1,1,
AI_x:544,544,544,544,
AI_y:256,256,256,256,
AI_level:21,21,21,21,
AI_bullet:0,0,0,2,
AI_item:--------,--------,--------,--------,
AI_tune:0,2,4,7,
AI_move:0,2,2,2,
AI_move2:3,3,3,3,
AI_timer:2,2,2,2,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:6,0,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-3,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
AI_bomb:0,0,0,0,

char_code:Karasu_en,Karasu_en,Karasu_en,Karasu_en,
is_create:1,1,1,1,
AI_x:576,576,576,576,
AI_y:288,288,288,288,
AI_level:21,21,21,21,
AI_bullet:2,2,2,2,
