<TERMINATE>
group_id:0------------------------

char_code:Utsuho_en,Utsuho_en,Utsuho_en,Utsuho_en,
is_create:1,1,1,1,
AI_x:272,272,272,272,
AI_y:512,512,512,512,
AI_level:1,1,1,1,
AI_bullet:0,0,0,0,
AI_item:--------,--------,--------,--------,
AI_tune:-2,0,2,5,
AI_move:0,0,0,0,
AI_move2:3,3,3,3,
AI_timer:1,1,1,1,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,0,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-1,
AI_spirit:-1,-1,-1,-1,
AI_land:Ground,Ground,Ground,Ground,
AI_bomb:0,0,0,0,


<TERMINATE>
group_id:1------------------------

char_code:JKarasu_en,JKarasu_en,JKarasu_en,JKarasu_en,
is_create:1,1,1,1,
AI_x:336,336,336,336,
AI_y:400,400,400,400,
AI_level:1,1,1,1,
AI_bullet:0,0,0,0,
AI_item:--------,--------,--------,--------,
AI_tune:-2,0,2,5,
AI_move:0,0,0,0,
AI_move2:3,3,3,3,
AI_timer:1,1,1,1,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,0,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-1,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
AI_bomb:0,0,0,0,

char_code:JKarasu_en,JKarasu_en,JKarasu_en,JKarasu_en,
is_create:1,1,1,1,
AI_x:368,368,368,368,
AI_y:432,432,432,432,
AI_level:1,1,1,1,
AI_bullet:0,0,0,0,
AI_item:--------,--------,--------,--------,
AI_tune:-2,0,2,5,
AI_move:0,0,0,0,
AI_move2:3,3,3,3,
AI_timer:1,1,1,1,
AI_move_x:-1,-1,-1,-1,
AI_move_y:-1,-1,-1,-1,
AI_move_unit:,,,,
AI_attack:0,0,0,0,
AI_attack_unit:,,,,
AI_def:-1,-1,-1,-1,
AI_spirit:-1,-1,-1,-1,
AI_land:Air,Air,Air,Air,
